,time,n1,n1_bkg,n2,n2_bkg,n9,n9_bkg,na,na_bkg,b0,b0_bkg,b1,b1_bkg
113,83.0,1234.671914273048,1238.0992574603915,1239.5102931502013,1238.6967215590232,1179.1223158924834,1151.4749238684526,1124.9744323992636,1118.7559619834465,2856.9129245131176,2897.6973921835424,2924.777068781578,3050.334077716979
114,84.0,1219.678550508333,1238.0992574603888,1300.8113773355933,1238.6967215590214,1161.9909647432492,1151.4749238684503,1087.7869100635828,1118.7559619834444,2851.462355464867,2897.697392183541,3056.4168646559015,3050.3340777169788
115,85.0,1268.8700536636743,1238.0992574603938,1305.902035281421,1238.6967215590237,1210.1827807132759,1151.4749238684503,1076.6312868650982,1118.7559619834458,2806.8071612817553,2897.6973921835406,2896.526181456596,3050.3340777169838
116,86.0,1230.4723930933094,1238.0992574603902,1244.477068930592,1238.6967215590223,1182.1279104510536,1151.474923868453,1137.0427263356744,1118.755961983446,2855.142274214383,2897.6973921835365,2989.33501890226,3050.334077716973
117,87.0,1256.8131711613034,1238.0992574603924,1246.6276865679126,1238.6967215590237,1150.9279607321025,1151.4749238684503,1131.8726928945664,1118.755961983445,2877.5878167358896,2897.697392183539,2938.997681010049,3050.3340777169815
118,88.0,1179.1790667639957,1238.0992574603888,1258.67280725156,1238.6967215590237,1206.1528836378293,1151.4749238684517,1144.9907157495377,1118.7559619834446,2856.2690023884406,2897.697392183543,2934.995289513733,3050.3340777169774
119,89.0,1250.739711738097,1238.0992574603915,1271.6929964617248,1238.6967215590228,1216.3693430803326,1151.4749238684517,1149.1578858703717,1118.7559619834453,2852.2217147134397,2897.6973921835424,3022.1030293512445,3050.3340777169783
120,90.0,1265.8329421488268,1238.0992574603915,1213.3050429369603,1238.6967215590219,1144.9356149166463,1151.4749238684524,1161.023304685401,1118.755961983447,2890.813190882216,2897.697392183539,3020.0045098734013,3050.3340777169847
121,91.0,1293.9906672176994,1238.0992574603906,1224.421032364426,1238.6967215590228,1171.129257375708,1151.4749238684494,1071.7114299176917,1118.7559619834444,2873.79453576546,2897.6973921835383,2947.7536084570033,3050.3340777169756
122,92.0,1184.3564662252825,1238.0992574603906,1247.5430221829997,1238.6967215590246,1129.9265096600195,1151.474923868453,1079.7317212547746,1118.7559619834462,2911.996136121229,2897.6973921835415,2989.214671911044,3050.3340777169783
