,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
469,-6.55,1082.5114265094867,1045.671987728823,1504.755025881765,1335.6197495476197,1223.1802686985989,832.9191297173538,3466.064807351232,3266.074130158853
470,-6.5,1425.1876831667066,1049.0432735585737,1364.1470069009595,1336.0150393666934,902.2013713460716,835.5753771229435,3100.0885739592113,3266.074130158848
471,-6.45,1323.4940242239325,1052.4017788458375,1303.807116780982,1336.41032918576,1123.2349165596759,838.221798513038,3079.834131808805,3266.074130158853
472,-6.4,1223.3765191929551,1055.747503590581,1062.2519741852577,1336.805619004829,1002.8078620136239,840.8583938876312,3565.8165115435245,3266.0741301588396
473,-6.35,1425.4165830154384,1059.0804477928416,1706.6216921655782,1337.2009088239026,1305.063646950148,843.4851632467219,3872.841697595555,3266.074130158861
474,-6.3,1163.630527244988,1062.4006114525832,1363.9281129653207,1337.5961986429709,1042.6692332370721,846.1021065903137,3729.3875740837266,3266.0741301588428
475,-6.25,1464.5106929342166,1065.7079945698288,1304.0163704208778,1337.9914884620382,1063.2748866508696,848.709223918401,2897.151134717486,3266.0741301588555
476,-6.2,1263.5885916001264,1069.0025971445712,1283.6970474967725,1338.3867782811124,721.6164207825426,851.3065152309908,3343.8079123357834,3266.074130158845
477,-6.15,1122.5144323283996,1072.2844191768113,1403.9310068190734,1338.7820681001747,1123.7758869802376,853.893980528083,2978.5863790049484,3266.0741301588578
478,-6.1,1042.3348300192283,1075.5534606665535,1384.4857337774192,1339.177357919248,1042.502004811533,856.4716198096672,2777.1069789905423,3266.0741301588428
479,-6.05,1162.883952201443,1078.8097216137887,1082.685058946171,1339.5726477383187,1103.3099297893523,859.0394330757559,3100.0885739592113,3266.074130158849
480,-6.0,1344.4636192157773,1082.053202018518,1203.465982028224,1339.9679375573908,962.3095429029535,861.5974203263402,3018.5945423810244,3266.074130158853
481,-5.95,1102.602141052869,1085.2839018807583,1062.2519741852577,1340.3632273764554,1002.3253949161913,864.1455815614295,3058.5962652929375,3266.074130158845
482,-5.9,1444.622792937379,1088.5018212004838,1303.807116780982,1340.7585171955295,781.7197835237411,866.683916781011,2959.7712720975696,3266.074130158854
483,-5.85,1364.5850056188601,1091.7069599777094,1505.2382290370274,1341.1538070145982,1022.9050503429595,869.2124259850908,3364.6290849014304,3266.0741301588464
484,-5.8,1143.1551080983352,1094.899318212436,1002.0040080160179,1341.5490968336653,1203.852327447816,871.7311091736816,3262.7084508176445,3266.0741301588564
485,-5.75,1243.8809084342975,1098.0788959046604,1323.9187996469361,1341.9443866527354,1022.7409457345541,874.2399663467583,3120.3446470990416,3266.074130158844
486,-5.7,1062.2519741852577,1101.245693054382,1162.883952201443,1342.3396764718038,881.9756254008855,876.7389975043417,3181.122654425339,3266.0741301588564
487,-5.65,1223.1802686985989,1104.3997096615985,1263.791374122349,1342.7349662908782,861.7579862920235,879.228202646423,3464.389300676715,3266.0741301588423
488,-5.6,1183.3607445144041,1107.5409457263152,1263.791374122349,1343.1302561099424,1083.3801460556783,881.7075817730018,3244.005641748896,3266.0741301588555
489,-5.55,881.5515306940089,1110.6694012485318,1263.9942217406826,1343.525545929016,982.3970487990557,884.1771348840813,3710.275850943647,3266.0741301588473
490,-5.5,941.9215199005838,1113.785076228238,1625.5267910896819,1343.9208357480825,1143.1551080983352,886.6368619796615,2919.2671632775905,3266.0741301588564
491,-5.45,1343.8164386858489,1116.8879706654511,1183.170898006641,1344.3161255671555,901.7674642298778,889.086763059739,2735.3177795655283,3266.0741301588428
492,-5.4,1283.2852101379349,1119.978084560162,1645.9253311922687,1344.711415386221,721.3850593138724,891.5268381243131,3039.8196239480985,3266.0741301588487
493,-5.35,1263.5885916001264,1123.0554179123624,1565.887737894461,1345.1067052052956,882.4001283490969,893.9570871733921,3504.9552816049777,3266.0741301588555
494,-5.3,1504.5135406218442,1126.1199707220655,1143.1551080983352,1345.5019950243611,1224.1621513144516,896.3775102069682,2795.9930804199626,3266.0741301588473
495,-5.25,1323.7063778579836,1129.1717429892647,1465.6868650363201,1345.897284843432,1143.3385485617841,898.7881072250406,3100.0885739592113,3266.0741301588505
496,-5.2,1163.070506136183,1132.21073471397,1444.622792937379,1346.2925746625015,982.3970487990557,901.1888782276142,2696.177062374207,3266.0741301588473
